x,y,strain,r
1.0482569015683771,1.6552380952380936,ss,2.0
1.0463223334043006,1.4457142857142848,ss,2.0
1.0442381662053797,1.2780952380952382,ss,2.0
1.041707472855014,1.0685714285714294,ss,2.0
1.039027748208076,0.8590476190476188,ss,2.0
1.0363473138882977,0.7019047619047605,ss,2.0
1.033368533106238,0.5657142857142858,ss,2.0
1.030687672982755,0.4400000000000013,ss,2.0
1.0275594351004187,0.3352380952380951,ss,2.0
1.024952380952381,0.261904761904761,ss,2.0
1.0224943581009156,0.1885714285714268,ss,2.0
1.0195140160386065,0.1676190476190484,ss,2.0
1.016533957845433,0.1257142857142845,ss,2.0
1.0135541835213966,0.0628571428571422,ss,2.0
1.0102754949968065,0.0628571428571422,ss,2.0
1.0068480590447804,0.0419047619047621,ss,2.0
1.0031225604996097,0.0209523809523801,ss,2.0
1.0002912497338727,0.0,ss,2.0
1.012149343807213,0.055645953448641,ss,0.75
1.0163725852426877,0.0870745248772095,ss,0.75
1.020637890122489,0.1049811374475098,ss,0.75
1.0251610409977685,0.1521866325005358,ss,0.75
1.029152120260132,0.1588709923431306,ss,0.75
1.033029733837224,0.1918028736158241,ss,0.75
1.0357924152309583,0.2239970816428265,ss,0.75
1.037941339015808,0.236371983771086,ss,0.75
1.0418243540624634,0.2681763826606875,ss,0.75
1.04438775155595,0.2999807815502873,ss,0.75
1.047328128774115,0.3357607303010876,ss,0.75
1.0502683982683982,0.3794917787742893,ss,0.75
1.05325705886934,0.4294701198865187,ss,0.75
1.0560355040093334,0.490807174887891,ss,0.75
1.0589755311248823,0.5524281977364929,ss,0.75
1.0619404484418085,0.6321600588416736,ss,0.75
1.064880161362702,0.7169717892139396,ss,0.75
1.0676815328806066,0.8088511637838991,ss,0.75
1.070482712889388,0.9148658267492332,ss,0.75
1.073421994914754,1.0314819560111026,ss,0.75
1.076386107294896,1.170626201153107,ss,0.75
1.0793248955858032,1.3236848708093092,ss,0.75
1.0822635492218582,1.4866824151185138,ss,0.75
1.0852270002970583,1.674637578000807,ss,0.75
1.0880269654198385,1.8703229767243208,ss,0.75
1.0909647572648382,2.0969293188127267,ss,0.75
1.093763974305105,2.3478306878306885,ss,0.75
1.0967009103437098,2.6376040999359383,ss,0.75
1.009232559789937,0.0419047619047585,ss,0.75
1.005655808672202,0.0419047619047621,ss,0.75
1.0025264353133203,0.0209523809523801,ss,0.75
0.9998438719750196,0.0209523809523801,ss,0.75
1.0321946577228795,0.2872590219944477,ss,1.33
1.0347354044748005,0.3211837141433555,ss,1.33
1.0370348131704517,0.3578069613495618,ss,1.33
1.0395225297403694,0.4098505231689078,ss,1.33
1.042010285482608,0.4590027759982913,ss,1.33
1.0444978257770825,0.5240572282724756,ss,1.33
1.0469852289684347,0.5992312620115303,ss,1.33
1.0491491779137991,0.6952640248924684,ss,1.33
1.0518461653321318,0.8056707238949379,ss,1.33
1.054558654473554,0.964560200014235,ss,1.33
1.0574973529945595,1.1242447861057716,ss,1.33
1.0604351627935398,1.3495259449071106,ss,1.33
1.063234691036132,1.5774574702825817,ss,1.33
1.0661969092713506,1.8564085522101208,ss,1.33
1.069133596946561,2.164513666453127,ss,1.33
1.0719567705812283,2.5024354046551345,ss,1.33
1.07376351552831,2.72506619688234,ss,1.33
1.0291999148392592,0.2514285714285726,ss,1.33
1.0260705414803777,0.2304761904761907,ss,1.33
1.0226433893974878,0.1885714285714268,ss,1.33
1.019514299907743,0.1466666666666665,ss,1.33
1.0160868639557163,0.1257142857142845,ss,1.33
1.0125106805762545,0.0838095238095242,ss,1.33
1.009232559789937,0.0419047619047621,ss,1.33
1.0059538712653466,0.0419047619047621,ss,1.33
1.0032718756653185,0.0,ss,1.33
1.0005893123270173,0.0,ss,1.33
1.0042372585879165,0.0354452274183234,ss,1.0
1.0067254843980031,0.0499017723681411,ss,1.0
1.0092136857904836,0.066160580824258,ss,1.0
1.0117471770455524,0.0790365150544545,ss,1.0
1.0139641472007863,0.0781016442451445,ss,1.0
1.0174704379890736,0.0870745248772095,ss,1.0
1.027611319928897,0.1846174104918567,ss,1.0
1.0363011351901303,0.2443230834934855,ss,1.0
1.038781031286025,0.2772633537720015,ss,1.0
1.0415595687607744,0.3317851804398888,ss,1.0
1.044408994705459,0.4017548579970089,ss,1.0
1.0474393536821678,0.474904975443092,ss,1.0
1.0494746887066229,0.5226115737774926,ss,1.0
1.052791147950451,0.6286262367428268,ss,1.0
1.0578409562698323,0.8088511637838991,ss,1.0
1.0610063148153277,0.9360687593423016,ss,1.0
1.0655277015860711,1.1586995515695069,ss,1.0
1.074906789086823,1.826591928251121,ss,1.0
1.0780025580046164,2.081027119367926,ss,1.0
1.080829909786989,2.349092767151703,ss,1.0
1.083766462807347,2.667136756047711,ss,1.0
1.086541237640793,2.999379137305146,ss,1.0
1.0893637918631396,3.383019698910953,ss,1.0
1.0919279318819548,3.757573289405448,ss,1.0
1.0944107211335343,4.173302217748084,ss,1.0
1.096796589669664,4.586759403312893,ss,1.0
1.0983922111973643,4.887765321375186,ss,1.0
1.0722515080547868,1.6133333333333333,ss,1.0
1.069274004683841,1.3828571428571426,ss,1.0
1.033075012419275,0.2304761904761907,ss,1.0
1.0241342701014833,0.1466666666666665,ss,1.0
1.0207071180185934,0.1047619047619043,ss,1.0
1.0022286565893124,0.0,ss,1.0
1.0002909658647363,0.0209523809523801,ss,1.0
1.0306907955432547,0.2095238095238087,ss,1.0
1.0008443091196026,0.009404228058937,ss,0.5
1.003332632860491,0.016632500533845,ss,0.5
1.0058209174290589,0.026752081998719,ss,0.5
1.008309182411466,0.0383173179585725,ss,0.5
1.0107974473938734,0.0498825539184277,ss,0.5
1.0132854577561965,0.0802412983130462,ss,0.5
1.01577351708392,0.1069859064702107,ss,0.5
1.0182616691194692,0.1268877500177936,ss,0.5
1.0207500516188386,0.1297790590077578,ss,0.5
1.023147815809453,0.1422839703893519,ss,0.5
1.02574872634941,0.1881353121218616,ss,0.5
1.0281924138837468,0.1505001067691651,ss,0.5
1.030768190390175,0.1432305298801122,ss,0.5
1.032997920854066,0.1545892437692568,ss,0.5
1.0356799992871448,0.1727631859918847,ss,0.5
1.0386456377556137,0.1992668517332187,ss,0.5
1.0415861645902813,0.2240036064251302,ss,0.5
1.0442501761894545,0.2505072721664643,ss,0.5
1.046735108804303,0.276127482383087,ss,0.5
1.0491221238303186,0.3067960098837741,ss,0.5
1.0517645154173862,0.338852824637577,ss,0.5
1.0547047071110882,0.3883263340214,ss,0.5
1.0575067429262643,0.4311739269698904,ss,0.5
1.0604470124205478,0.474904975443092,ss,0.5
1.0632488387726204,0.5332130400740258,ss,0.5
1.0661887671412775,0.6021225710014946,ss,0.5
1.069178870900256,0.6780997461266516,ss,0.5
1.0721186556370708,0.7576107433506536,ss,0.5
1.0750585121898069,0.8318210074263881,ss,0.5
1.0777215423047226,0.930768026194034,ss,0.5
1.0807990969094865,1.045396380525304,ss,0.5
1.0836001542327354,1.1604664626189276,ss,0.5
1.0865643444134587,1.2938682468503089,ss,0.5
1.0895031596353364,1.4449391415759116,ss,0.5
1.0924668111966502,1.618096424419294,ss,0.5
1.0954050399218378,1.812456639855743,ss,0.5
1.0975269191160724,1.965736173393124,ss,0.5
1.0051047349817477,0.0133653640828494,ff,2.0
1.0075410911713198,0.0108402733290606,ff,2.0
1.0101139301777398,0.0137411915438807,ff,2.0
1.0129468130438506,0.0296433909886815,ff,2.0
1.0159099092287065,0.0582673499893218,ff,2.0
1.018940628590766,0.104817424727738,ff,2.0
1.02142869771157,0.130839205637411,ff,2.0
1.0239168060046944,0.1539696775571215,ff,2.0
1.026404738022376,0.1901110399316667,ff,2.0
1.0288927176997142,0.2227346430350891,ff,2.0
1.0313806883679977,0.2560232044985415,ff,2.0
1.0338555371507367,0.2762237881699771,ff,2.0
1.0363087937787507,0.3177593548630284,ff,2.0
1.038845005281754,0.3260025624599603,ff,2.0
1.0413327806101529,0.3737091607943625,ff,2.0
1.0438204971800704,0.4257527226137085,ff,2.0
1.0463081158191865,0.4850245569079643,ff,2.0
1.0487956952859816,0.5471877001921825,ff,2.0
1.0512831572358148,0.6180247704462936,ff,2.0
1.053770501668686,0.6975357676702956,ff,2.0
1.0562577481707554,0.7842750373692073,ff,2.0
1.0587448771558627,0.8796882340380101,ff,2.0
1.0612318690378475,0.9852210121716852,ff,2.0
1.0637186454720688,1.106655989750159,ff,2.0
1.066205363147809,1.2324279308135804,ff,2.0
1.0686918849619458,1.3726564168268212,ff,2.0
1.071178210914479,1.527341447789876,ff,2.0
1.0736643801777297,1.69359171471279,ff,2.0
1.0761502948208956,1.878635490070467,ff,2.0
1.078635935257817,2.0839184283578884,ff,2.0
1.0811212035576916,2.316668802049968,ff,2.0
1.0836061584790009,2.572549647661754,ff,2.0
1.0860908196079049,2.850115310698269,ff,2.0
1.08857497149664,3.1652679906043115,ff,2.0
1.0909457332272965,3.501093529788596,ff,2.0
1.093090340963678,3.8320359693453856,ff,2.0
1.095121582480621,4.181884357130993,ff,2.0
1.0971525367338792,4.552935677509668,ff,2.0
1.0983938270555929,4.768498825539184,ff,2.0
1.0028247817756015,0.0,ff,2.0
1.0005893123270173,0.0,ff,2.0
1.0120000286415047,0.0765983344010212,ff,0.75
1.0160000070012567,0.0870745248772095,ff,0.75
1.023488863634861,0.2010337627826413,ff,0.75
1.0259517297197822,0.2320350202861405,ff,0.75
1.0284396029789826,0.2725133461456313,ff,0.75
1.0309272803765797,0.3274482169549433,ff,0.75
1.0334148402572148,0.3910570147341445,ff,0.75
1.0359027918610564,0.4257527226137085,ff,0.75
1.0383901917880487,0.5011676987685938,ff,0.75
1.0408771869343936,0.6064595344864401,ff,0.75
1.0433643550918217,0.6989814221652786,ff,0.75
1.0458513273876464,0.8059598547939348,ff,0.75
1.048338084235707,0.9288404868673918,ff,0.75
1.0508246648083248,1.0647320093956871,ff,0.75
1.0533109711746975,1.2208626948537251,ff,0.75
1.0557968074732225,1.4116890881913289,ff,0.75
1.058282467496304,1.615526371983771,ff,0.75
1.0607677749684994,1.845385436685884,ff,0.75
1.0632526711313277,2.105603245782616,ff,0.75
1.0657370384678266,2.4048537262438607,ff,0.75
1.068107904005133,2.7330172966047392,ff,0.75
1.0702523992299042,3.072264218093814,ff,0.75
1.07228378437869,3.4115111395828865,ff,0.75
1.0736380172059068,3.6394426649583593,ff,0.75
1.0199616776665956,0.1257142857142845,ff,0.75
1.0080401674827904,0.0523809523809521,ff,0.75
1.004314810872188,0.0209523809523801,ff,0.75
1.0005891703924492,0.0104761904761936,ff,0.75
1.0321946577228795,0.2872590219944477,ff,1.33
1.0347354044748005,0.3211837141433555,ff,1.33
1.0370348131704517,0.3578069613495618,ff,1.33
1.0395225297403694,0.4098505231689078,ff,1.33
1.042010285482608,0.4590027759982913,ff,1.33
1.0444978257770825,0.5240572282724756,ff,1.33
1.0469852289684347,0.5992312620115303,ff,1.33
1.0494725929874662,0.6772966047405511,ff,1.33
1.0519597285012936,0.7722279165776911,ff,1.33
1.0544467595555993,0.8748693857214018,ff,1.33
1.0569337253227038,0.9823297031817192,ff,1.33
1.0594207172046888,1.087862481315394,ff,1.33
1.0619074152942685,1.2150800768737966,ff,1.33
1.0643370175502058,1.3822137993214216,ff,1.33
1.066880223888618,1.5128849028400584,ff,1.33
1.069366256048746,1.6892547512278444,ff,1.33
1.07185205317495,1.8829724535554124,ff,1.33
1.0743376152672297,2.0940380098227624,ff,1.33
1.076822863980944,2.328234038009821,ff,1.33
1.0793077601437724,2.5884518471065547,ff,1.33
1.081792342928035,2.871800128122997,ff,1.33
1.0842763968859683,3.1941810805039506,ff,1.33
1.0867600787068552,3.544029468289557,ff,1.33
1.089130348824887,3.916140935297884,ff,1.33
1.0911616765209355,4.259628443305573,ff,1.33
1.0929667786788184,4.60351350629938,ff,1.33
1.0946587015096485,4.952509990543302,ff,1.33
1.096237441166144,5.306901863884566,ff,1.33
1.0978160884878836,5.668108965559317,ff,1.33
1.0290508835426868,0.2514285714285726,ff,1.33
1.026070825349514,0.2095238095238087,ff,1.33
1.0224946419700518,0.1676190476190484,ff,1.33
1.0187694272940175,0.1257142857142845,ff,1.33
1.0153419913419914,0.1047619047619043,ff,1.33
1.011616776665957,0.0628571428571422,ff,1.33
1.0081893407139308,0.0419047619047621,ff,1.33
1.0047619047619047,0.0209523809523801,ff,1.33
1.0019303101270314,0.0209523809523801,ff,1.33
0.9999929032715918,0.0209523809523801,ff,1.33
1.0986873891136186,8.38095238095238,ff,1.0
1.0976489958129303,8.024761904761903,ff,1.0
1.096610602512242,7.668571428571428,ff,1.0
1.095422894045845,7.333333333333332,ff,1.0
1.0945335320417289,6.977142857142857,ff,1.0
1.0931973600170322,6.599999999999999,ff,1.0
1.0920096515506352,6.264761904761904,ff,1.0
1.0908219430842383,5.929523809523809,ff,1.0
1.0894846355829964,5.636190476190476,ff,1.0
1.0881476119508908,5.321904761904761,ff,1.0
1.086810588318785,5.007619047619047,ff,1.0
1.085175502093535,4.693333333333333,ff,1.0
1.083986942019729,4.4209523809523805,ff,1.0
1.0822025406287703,4.127619047619046,ff,1.0
1.0805671705343838,3.8342857142857145,ff,1.0
1.0787824852742889,3.5619047619047617,ff,1.0
1.0769978000141935,3.28952380952381,ff,1.0
1.0752131147540984,3.017142857142858,ff,1.0
1.0735768930523029,2.786666666666667,ff,1.0
1.071493009722518,2.5980952380952385,ff,1.0
1.0694096941310056,2.367619047619048,ff,1.0
1.0676238733943653,2.179047619047619,ff,1.0
1.0652422113405722,1.9695238095238103,ff,1.0
1.0631580441416508,1.801904761904762,ff,1.0
1.0607763820878575,1.5923809523809511,ff,1.0
1.0583938684266554,1.4457142857142848,ff,1.0
1.055713576041445,1.2780952380952382,ff,1.0
1.0528842523596622,1.1104761904761895,ff,1.0
1.050203959974452,0.9428571428571432,ff,1.0
1.0476715634092684,0.8590476190476188,ff,1.0
1.0451394507132212,0.7542857142857127,ff,1.0
1.04275608544461,0.6704761904761902,ff,1.0
1.0399261940245548,0.5447619047619039,ff,1.0
1.03664864097651,0.4609523809523814,ff,1.0
1.0339669292456175,0.3980952380952374,ff,1.0
1.0311361862181534,0.3352380952380951,ff,1.0
1.028305443190689,0.272380952380951,ff,1.0
1.0254744162940883,0.2304761904761907,ff,1.0
1.0227927045631964,0.1676190476190484,ff,1.0
1.0195145837768789,0.1257142857142845,ff,1.0
1.016384926548861,0.1257142857142845,ff,1.0
1.013702505145128,0.1152380952380944,ff,1.0
1.010871052444823,0.1047619047619026,ff,1.0
1.007592647789369,0.0838095238095242,ff,1.0
1.0049102263856362,0.0733333333333323,ff,1.0
1.0022280888510398,0.0419047619047621,ff,1.0
1.000141934568164,0.0209523809523801,ff,1.0
1.0008443091196026,0.009404228058937,ff,0.5
1.003332632860491,0.016632500533845,ff,0.5
1.0058209174290589,0.026752081998719,ff,0.5
1.008309182411466,0.0383173179585725,ff,0.5
1.0107974473938734,0.0498825539184277,ff,0.5
1.0132854577561965,0.0802412983130462,ff,0.5
1.01577351708392,0.1069859064702107,ff,0.5
1.0182616691194692,0.1268877500177936,ff,0.5
1.0207496494496795,0.1594631646380531,ff,0.5
1.0232372465440192,0.2203252188767894,ff,0.5
1.0257245824895542,0.30046266638195,ff,0.5
1.0282117571757023,0.3925026692291276,ff,0.5
1.0307171048053942,0.4276061258124013,ff,0.5
1.0331857996981533,0.5992312620115303,ff,0.5
1.035672536960054,0.7235575485799686,ff,0.5
1.0381589804295492,0.8695686525731379,ff,0.5
1.0406450517619978,1.043047191970958,ff,0.5
1.0431307117850794,1.246884475763398,ff,0.5
1.045615862567992,1.4883087764253684,ff,0.5
1.0481006608000183,1.75575485799701,ff,0.5
